"NIRCam Instrument Transmission -- exclusive of filters, DBS, and detectors",,,,,,,,,,
Wavelength,Collimator,SW_Triplet,SW_Mirrors,LW_triplet,LW_Mirrors,SW_Particulates,LW_Particulates,,NVR_Wavelength,NVR_Transmission
1.664,0.825,0.824,0.946,---,0.959,0.983,---,,,
1.665,0.825,0.824,0.946,---,0.959,0.983,---,,,
1.666,0.825,0.824,0.946,---,0.959,0.983,---,,,
1.667,0.825,0.824,0.946,---,0.959,0.983,---,,,
1.668,0.825,0.824,0.946,---,0.959,0.983,---,,,
1.669,0.825,0.824,0.946,---,0.959,0.983,---,,,
1.670,0.825,0.824,0.946,---,0.959,0.983,---,,,
1.671,0.825,0.824,0.946,---,0.959,0.983,---,,,
1.672,0.825,0.824,0.946,---,0.959,0.983,---,,,
1.673,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.674,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.675,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.676,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.677,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.678,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.679,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.680,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.681,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.682,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.683,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.684,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.685,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.686,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.687,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.688,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.689,0.824,0.824,0.946,---,0.959,0.983,---,,,
1.690,0.824,0.825,0.946,---,0.959,0.983,---,,,
1.691,0.824,0.825,0.946,---,0.959,0.983,---,,,
1.692,0.824,0.825,0.946,---,0.959,0.983,---,,,
1.693,0.824,0.825,0.946,---,0.959,0.983,---,,,
1.694,0.824,0.825,0.946,---,0.959,0.983,---,,,
1.695,0.824,0.825,0.946,---,0.959,0.983,---,,,
1.696,0.824,0.825,0.946,---,0.959,0.983,---,,,
1.697,0.824,0.825,0.946,---,0.959,0.983,---,,,
1.698,0.824,0.825,0.946,---,0.959,0.983,---,,,
1.699,0.824,0.825,0.946,---,0.959,0.983,---,,,
1.700,0.824,0.825,0.946,---,0.960,0.983,---,,,
1.701,0.824,0.825,0.946,---,0.960,0.983,---,,,
1.702,0.824,0.825,0.946,---,0.960,0.983,---,,,
1.703,0.824,0.825,0.946,---,0.960,0.983,---,,,
1.704,0.824,0.825,0.946,---,0.960,0.983,---,,,
1.705,0.824,0.825,0.946,---,0.960,0.983,---,,,
1.706,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.707,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.708,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.709,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.710,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.711,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.712,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.713,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.714,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.715,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.716,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.717,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.718,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.719,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.720,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.721,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.722,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.723,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.724,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.725,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.726,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.727,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.728,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.729,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.730,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.731,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.732,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.733,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.734,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.735,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.736,0.824,0.825,0.947,---,0.960,0.983,---,,,
1.737,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.738,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.739,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.740,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.741,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.742,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.743,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.744,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.745,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.746,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.747,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.748,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.749,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.750,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.751,0.823,0.825,0.947,---,0.960,0.983,---,,,
1.752,0.823,0.825,0.948,---,0.960,0.983,---,,,
1.753,0.823,0.825,0.948,---,0.960,0.983,---,,,
1.754,0.823,0.825,0.948,---,0.960,0.983,---,,,
1.755,0.823,0.825,0.948,---,0.960,0.983,---,,,
1.756,0.823,0.825,0.948,---,0.960,0.983,---,,,
1.757,0.823,0.825,0.948,---,0.960,0.983,---,,,
1.758,0.823,0.825,0.948,---,0.960,0.983,---,,,
1.759,0.823,0.825,0.948,---,0.960,0.983,---,,,
1.760,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.761,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.762,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.763,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.764,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.765,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.766,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.767,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.768,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.769,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.770,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.771,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.772,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.773,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.774,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.775,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.776,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.777,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.778,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.779,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.780,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.781,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.782,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.783,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.784,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.785,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.786,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.787,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.788,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.789,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.790,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.791,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.792,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.793,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.794,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.795,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.796,0.823,0.825,0.948,---,0.961,0.983,---,,,
1.797,0.823,0.825,0.949,---,0.961,0.983,---,,,
1.798,0.823,0.825,0.949,---,0.961,0.983,---,,,
1.799,0.823,0.825,0.949,---,0.961,0.983,---,,,
1.800,0.823,0.825,0.949,---,0.961,0.983,---,,,
1.801,0.823,0.825,0.949,---,0.961,0.983,---,,,
1.802,0.823,0.825,0.949,---,0.961,0.983,---,,,
1.803,0.823,0.825,0.949,---,0.961,0.983,---,,,
1.804,0.823,0.825,0.949,---,0.961,0.983,---,,,
1.805,0.823,0.825,0.949,---,0.961,0.983,---,,,
1.806,0.823,0.825,0.949,---,0.961,0.983,---,,,
1.807,0.824,0.825,0.949,---,0.961,0.983,---,,,
1.808,0.824,0.825,0.949,---,0.961,0.983,---,,,
1.809,0.824,0.825,0.949,---,0.961,0.983,---,,,
1.810,0.824,0.825,0.949,---,0.961,0.983,---,,,
1.811,0.824,0.825,0.949,---,0.961,0.983,---,,,
1.812,0.824,0.825,0.949,---,0.961,0.983,---,,,
1.813,0.824,0.825,0.949,---,0.961,0.983,---,,,
1.814,0.824,0.826,0.949,---,0.961,0.983,---,,,
1.815,0.824,0.826,0.949,---,0.961,0.983,---,,,
1.816,0.824,0.826,0.949,---,0.961,0.983,---,,,
1.817,0.824,0.826,0.949,---,0.961,0.983,---,,,
1.818,0.824,0.826,0.949,---,0.961,0.983,---,,,
1.819,0.824,0.826,0.949,---,0.961,0.983,---,,,
1.820,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.821,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.822,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.823,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.824,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.825,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.826,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.827,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.828,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.829,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.830,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.831,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.832,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.833,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.834,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.835,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.836,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.837,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.838,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.839,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.840,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.841,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.842,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.843,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.844,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.845,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.846,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.847,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.848,0.824,0.826,0.949,---,0.962,0.983,---,,,
1.849,0.825,0.826,0.949,---,0.962,0.983,---,,,
1.850,0.825,0.826,0.949,---,0.962,0.983,---,,,
1.851,0.825,0.826,0.949,---,0.962,0.983,---,,,
1.852,0.825,0.826,0.949,---,0.962,0.983,---,,,
1.853,0.825,0.826,0.949,---,0.962,0.983,---,,,
1.854,0.825,0.826,0.949,---,0.962,0.983,---,,,
1.855,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.856,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.857,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.858,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.859,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.860,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.861,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.862,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.863,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.864,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.865,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.866,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.867,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.868,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.869,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.870,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.871,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.872,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.873,0.825,0.827,0.949,---,0.962,0.983,---,,,
1.874,0.826,0.827,0.949,---,0.962,0.983,---,,,
1.875,0.826,0.827,0.949,---,0.962,0.983,---,,,
1.876,0.826,0.827,0.949,---,0.962,0.983,---,,,
1.877,0.826,0.827,0.949,---,0.962,0.983,---,,,
1.878,0.826,0.827,0.949,---,0.962,0.983,---,,,
1.879,0.826,0.827,0.949,---,0.962,0.983,---,,,
1.880,0.826,0.827,0.949,---,0.962,0.983,---,,,
1.881,0.826,0.827,0.949,---,0.962,0.983,---,,,
1.882,0.826,0.827,0.949,---,0.962,0.983,---,,,
1.883,0.826,0.827,0.949,---,0.962,0.983,---,,,
1.884,0.826,0.828,0.949,---,0.962,0.983,---,,,
1.885,0.826,0.828,0.949,---,0.962,0.983,---,,,
1.886,0.826,0.828,0.949,---,0.962,0.983,---,,,
1.887,0.826,0.828,0.949,---,0.962,0.983,---,,,
1.888,0.826,0.828,0.949,---,0.962,0.983,---,,,
1.889,0.826,0.828,0.949,---,0.962,0.983,---,,,
1.890,0.826,0.828,0.949,---,0.962,0.983,---,,,
1.891,0.826,0.828,0.949,---,0.962,0.983,---,,,
1.892,0.826,0.828,0.950,---,0.962,0.983,---,,,
1.893,0.826,0.828,0.950,---,0.962,0.983,---,,,
1.894,0.826,0.828,0.950,---,0.962,0.983,---,,,
1.895,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.896,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.897,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.898,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.899,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.900,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.901,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.902,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.903,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.904,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.905,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.906,0.827,0.828,0.950,---,0.962,0.983,---,,,
1.907,0.827,0.829,0.950,---,0.962,0.983,---,,,
1.908,0.827,0.829,0.950,---,0.962,0.983,---,,,
1.909,0.827,0.829,0.950,---,0.962,0.983,---,,,
1.910,0.827,0.829,0.950,---,0.962,0.983,---,,,
1.911,0.827,0.829,0.950,---,0.962,0.983,---,,,
1.912,0.828,0.829,0.950,---,0.962,0.983,---,,,
1.913,0.828,0.829,0.950,---,0.962,0.983,---,,,
1.914,0.828,0.829,0.950,---,0.962,0.983,---,,,
1.915,0.828,0.829,0.950,---,0.962,0.983,---,,,
1.916,0.828,0.829,0.950,---,0.962,0.983,---,,,
1.917,0.828,0.829,0.950,---,0.962,0.983,---,,,
1.918,0.828,0.829,0.950,---,0.963,0.983,---,,,
1.919,0.828,0.829,0.950,---,0.963,0.983,---,,,
1.920,0.828,0.829,0.950,---,0.963,0.983,---,,,
1.921,0.828,0.829,0.950,---,0.963,0.983,---,,,
1.922,0.828,0.829,0.950,---,0.963,0.983,---,,,
1.923,0.828,0.829,0.950,---,0.963,0.983,---,,,
1.924,0.828,0.829,0.951,---,0.963,0.983,---,,,
1.925,0.828,0.829,0.951,---,0.963,0.983,---,,,
1.926,0.828,0.829,0.951,---,0.963,0.983,---,,,
1.927,0.828,0.830,0.951,---,0.963,0.983,---,,,
1.928,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.929,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.930,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.931,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.932,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.933,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.934,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.935,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.936,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.937,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.938,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.939,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.940,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.941,0.829,0.830,0.951,---,0.963,0.983,---,,,
1.942,0.830,0.830,0.951,---,0.963,0.983,---,,,
1.943,0.830,0.830,0.951,---,0.963,0.983,---,,,
1.944,0.830,0.830,0.951,---,0.963,0.983,---,,,
1.945,0.830,0.830,0.951,---,0.963,0.983,---,,,
1.946,0.830,0.831,0.951,---,0.963,0.983,---,,,
1.947,0.830,0.831,0.951,---,0.963,0.983,---,,,
1.948,0.830,0.831,0.951,---,0.963,0.983,---,,,
1.949,0.830,0.831,0.951,---,0.963,0.983,---,,,
1.950,0.830,0.831,0.951,---,0.963,0.983,---,,,
1.951,0.830,0.831,0.951,---,0.963,0.983,---,,,
1.952,0.830,0.831,0.951,---,0.963,0.983,---,,,
1.953,0.830,0.831,0.951,---,0.963,0.983,---,,,
1.954,0.830,0.831,0.951,---,0.963,0.983,---,,,
1.955,0.830,0.831,0.951,---,0.963,0.983,---,,,
1.956,0.831,0.831,0.951,---,0.963,0.983,---,,,
1.957,0.831,0.831,0.952,---,0.963,0.983,---,,,
1.958,0.831,0.831,0.952,---,0.963,0.983,---,,,
1.959,0.831,0.831,0.952,---,0.963,0.983,---,,,
1.960,0.831,0.831,0.952,---,0.963,0.983,---,,,
1.961,0.831,0.831,0.952,---,0.964,0.983,---,,,
1.962,0.831,0.831,0.952,---,0.964,0.983,---,,,
1.963,0.831,0.832,0.952,---,0.964,0.983,---,,,
1.964,0.831,0.832,0.952,---,0.964,0.983,---,,,
1.965,0.831,0.832,0.952,---,0.964,0.983,---,,,
1.966,0.831,0.832,0.952,---,0.964,0.983,---,,,
1.967,0.831,0.832,0.952,---,0.964,0.983,---,,,
1.968,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.969,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.970,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.971,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.972,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.973,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.974,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.975,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.976,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.977,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.978,0.832,0.832,0.952,---,0.964,0.983,---,,,
1.979,0.832,0.833,0.952,---,0.964,0.983,---,,,
1.980,0.832,0.833,0.952,---,0.964,0.983,---,,,
1.981,0.833,0.833,0.952,---,0.964,0.983,---,,,
1.982,0.833,0.833,0.952,---,0.964,0.983,---,,,
1.983,0.833,0.833,0.952,---,0.964,0.983,---,,,
1.984,0.833,0.833,0.952,---,0.964,0.983,---,,,
1.985,0.833,0.833,0.952,---,0.964,0.983,---,,,
1.986,0.833,0.833,0.952,---,0.964,0.983,---,,,
1.987,0.833,0.833,0.952,---,0.964,0.983,---,,,
1.988,0.833,0.833,0.952,---,0.964,0.983,---,,,
1.989,0.833,0.833,0.953,---,0.964,0.983,---,,,
1.990,0.833,0.833,0.953,---,0.964,0.983,---,,,
1.991,0.833,0.833,0.953,---,0.964,0.983,---,,,
1.992,0.833,0.833,0.953,---,0.964,0.983,---,,,
1.993,0.834,0.833,0.953,---,0.964,0.983,---,,,
1.994,0.834,0.834,0.953,---,0.964,0.983,---,,,
1.995,0.834,0.834,0.953,---,0.964,0.983,---,,,
1.996,0.834,0.834,0.953,---,0.964,0.983,---,,,
1.997,0.834,0.834,0.953,---,0.964,0.983,---,,,
1.998,0.834,0.834,0.953,---,0.964,0.983,---,,,
1.999,0.834,0.834,0.953,---,0.964,0.983,---,,,
2.000,0.834,0.834,0.953,0.054,0.964,0.983,---,,,
2.001,0.834,0.834,0.953,0.054,0.964,0.983,---,,,
2.002,0.834,0.834,0.953,0.055,0.964,0.983,---,,,
2.003,0.834,0.834,0.953,0.056,0.964,0.983,---,,,
2.004,0.835,0.834,0.953,0.056,0.964,0.983,---,,,
2.005,0.835,0.834,0.953,0.057,0.964,0.983,---,,,
2.006,0.835,0.834,0.953,0.057,0.964,0.983,---,,,
2.007,0.835,0.834,0.953,0.058,0.964,0.983,---,,,
2.008,0.835,0.834,0.953,0.059,0.964,0.983,---,,,
2.009,0.835,0.835,0.953,0.059,0.964,0.983,---,,,
2.010,0.835,0.835,0.953,0.060,0.964,0.983,---,,,
2.011,0.835,0.835,0.953,0.061,0.964,0.983,---,,,
2.012,0.835,0.835,0.953,0.061,0.964,0.983,---,,,
2.013,0.835,0.835,0.953,0.062,0.964,0.983,---,,,
2.014,0.835,0.835,0.953,0.063,0.964,0.983,---,,,
2.015,0.835,0.835,0.953,0.064,0.964,0.983,---,,,
2.016,0.836,0.835,0.953,0.064,0.964,0.983,---,,,
2.017,0.836,0.835,0.953,0.065,0.964,0.983,---,,,
2.018,0.836,0.835,0.953,0.066,0.964,0.983,---,,,
2.019,0.836,0.835,0.953,0.066,0.964,0.983,---,,,
2.020,0.836,0.835,0.953,0.067,0.964,0.983,---,,,
2.021,0.836,0.835,0.953,0.068,0.964,0.983,---,,,
2.022,0.836,0.835,0.953,0.069,0.964,0.983,---,,,
2.023,0.836,0.835,0.953,0.070,0.964,0.983,---,,,
2.024,0.836,0.836,0.953,0.070,0.964,0.983,---,,,
2.025,0.836,0.836,0.953,0.071,0.964,0.983,---,,,
2.026,0.836,0.836,0.953,0.072,0.964,0.983,---,,,
2.027,0.837,0.836,0.953,0.073,0.964,0.983,---,,,
2.028,0.837,0.836,0.953,0.074,0.964,0.983,---,,,
2.029,0.837,0.836,0.953,0.075,0.964,0.983,---,,,
2.030,0.837,0.836,0.953,0.076,0.964,0.983,---,,,
2.031,0.837,0.836,0.953,0.077,0.964,0.983,---,,,
2.032,0.837,0.836,0.953,0.078,0.964,0.983,---,,,
2.033,0.837,0.836,0.953,0.079,0.964,0.983,---,,,
2.034,0.837,0.836,0.953,0.079,0.964,0.983,---,,,
2.035,0.837,0.836,0.953,0.080,0.964,0.983,---,,,
2.036,0.837,0.836,0.953,0.081,0.964,0.983,---,,,
2.037,0.837,0.836,0.953,0.082,0.964,0.983,---,,,
2.038,0.837,0.836,0.953,0.083,0.964,0.983,---,,,
2.039,0.838,0.837,0.953,0.084,0.964,0.983,---,,,
2.040,0.838,0.837,0.953,0.086,0.964,0.983,---,,,
2.041,0.838,0.837,0.953,0.087,0.964,0.983,---,,,
2.042,0.838,0.837,0.953,0.088,0.964,0.983,---,,,
2.043,0.838,0.837,0.953,0.089,0.964,0.983,---,,,
2.044,0.838,0.837,0.953,0.090,0.964,0.983,---,,,
2.045,0.838,0.837,0.953,0.091,0.964,0.983,---,,,
2.046,0.838,0.837,0.953,0.092,0.964,0.983,---,,,
2.047,0.838,0.837,0.953,0.093,0.964,0.983,---,,,
2.048,0.838,0.837,0.953,0.094,0.964,0.983,---,,,
2.049,0.838,0.837,0.953,0.096,0.964,0.983,---,,,
2.050,0.839,0.837,0.953,0.097,0.964,0.983,---,,,
2.051,0.839,0.837,0.953,0.098,0.964,0.983,---,,,
2.052,0.839,0.837,0.953,0.099,0.964,0.983,---,,,
2.053,0.839,0.838,0.953,0.101,0.964,0.983,---,,,
2.054,0.839,0.838,0.953,0.102,0.964,0.983,---,,,
2.055,0.839,0.838,0.953,0.103,0.964,0.983,---,,,
2.056,0.839,0.838,0.953,0.104,0.964,0.983,---,,,
2.057,0.839,0.838,0.953,0.106,0.964,0.983,---,,,
2.058,0.839,0.838,0.953,0.107,0.964,0.983,---,,,
2.059,0.839,0.838,0.953,0.108,0.964,0.983,---,,,
2.060,0.839,0.838,0.953,0.110,0.964,0.983,---,,,
2.061,0.840,0.838,0.953,0.111,0.964,0.983,---,,,
2.062,0.840,0.838,0.953,0.113,0.964,0.983,---,,,
2.063,0.840,0.838,0.953,0.114,0.964,0.983,---,,,
2.064,0.840,0.838,0.953,0.116,0.964,0.983,---,,,
2.065,0.840,0.838,0.953,0.117,0.964,0.983,---,,,
2.066,0.840,0.838,0.953,0.119,0.964,0.983,---,,,
2.067,0.840,0.839,0.953,0.120,0.964,0.983,---,,,
2.068,0.840,0.839,0.953,0.122,0.964,0.983,---,,,
2.069,0.840,0.839,0.953,0.123,0.964,0.983,---,,,
2.070,0.840,0.839,0.953,0.125,0.964,0.983,---,,,
2.071,0.840,0.839,0.953,0.126,0.964,0.983,---,,,
2.072,0.841,0.839,0.953,0.128,0.964,0.983,---,,,
2.073,0.841,0.839,0.953,0.130,0.964,0.983,---,,,
2.074,0.841,0.839,0.953,0.131,0.964,0.983,---,,,
2.075,0.841,0.839,0.953,0.133,0.964,0.983,---,,,
2.076,0.841,0.839,0.953,0.135,0.964,0.983,---,,,
2.077,0.841,0.839,0.953,0.136,0.964,0.983,---,,,
2.078,0.841,0.839,0.953,0.138,0.964,0.983,---,,,
2.079,0.841,0.839,0.953,0.140,0.964,0.983,---,,,
2.080,0.841,0.839,0.953,0.142,0.964,0.983,---,,,
2.081,0.841,0.840,0.953,0.144,0.964,0.983,---,,,
2.082,0.841,0.840,0.953,0.145,0.964,0.983,---,,,
2.083,0.842,0.840,0.953,0.147,0.964,0.983,---,,,
2.084,0.842,0.840,0.953,0.149,0.964,0.983,---,,,
2.085,0.842,0.840,0.953,0.151,0.964,0.983,---,,,
2.086,0.842,0.840,0.953,0.153,0.964,0.983,---,,,
2.087,0.842,0.840,0.953,0.155,0.964,0.983,---,,,
2.088,0.842,0.840,0.953,0.157,0.964,0.983,---,,,
2.089,0.842,0.840,0.953,0.159,0.964,0.983,---,,,
2.090,0.842,0.840,0.953,0.161,0.964,0.983,---,,,
2.091,0.842,0.840,0.953,0.163,0.964,0.983,---,,,
2.092,0.842,0.840,0.953,0.165,0.964,0.983,---,,,
2.093,0.842,0.840,0.953,0.167,0.964,0.983,---,,,
2.094,0.843,0.841,0.953,0.169,0.964,0.983,---,,,
2.095,0.843,0.841,0.953,0.172,0.964,0.983,---,,,
2.096,0.843,0.841,0.953,0.174,0.964,0.983,---,,,
2.097,0.843,0.841,0.953,0.176,0.964,0.983,---,,,
2.098,0.843,0.841,0.953,0.178,0.964,0.983,---,,,
2.099,0.843,0.841,0.953,0.180,0.964,0.983,---,,,
2.100,0.843,0.841,0.953,0.183,0.964,0.983,---,,,
2.101,0.843,0.841,0.953,0.185,0.964,0.983,---,,,
2.102,0.843,0.841,0.953,0.187,0.964,0.983,---,,,
2.103,0.843,0.841,0.953,0.190,0.964,0.983,---,,,
